	驮	dou2	㊀拿。
	档	tong5	㊀抬起。
	托	thok7
	交托	kao1 thok7
1	托畀	thok7 peh7
	托老师旁	thok7 lhao3 sy9 bong
	接	ciah7
	摆	pa3	㊀放着，摆放。㊁看着办。㊂摇摆。
	摇摇摆摆	yao2 yao2 pa3 pa3
	眼摆㙮ㄦ望	nkan3 pa3 tan mong6
	摆㙮ㄦ望	pa3 tan mong6
	放	fong5	㊀放手。
	手放爻	xieo3 fong5 rao
	畀	peh7	㊀给。
	下	ho3	㊀取下穿戴物。㊁播撒。
	下落来	ho3 lok lei
	下项链	ho3 ong3 lian6
	下帽碗	ho3 mao6 uon9
	下手龙	ho3 xieo3 lung9
	下种	ho3 ciung3
	下秧	ho3 iang9
	下籽	ho3 cy3
	下落	ho3 lok8
	撩	liao2	㊀捞取。
	撩手痒	liao6 xieo3 iang9
	掇	toh7	㊀端。
	掇凳头	toh7 ten5 deo9
	掇菜蔬	toh7 chei5 su3
	掇菜	toh7 chei5
	掇汤	toh7 thong9
	掇碗	toh7 uon3
	碗掇牢牢	uon3 toh7 lao lao2
	移	yi2
	搅	kao3	㊀把玩。
	搅电脑	kao3 dian6 nhao3
	搅游戏	kao3 yeo2 hi5
	搅手机	kao3 xieo3 ki9
	挖	uah7	㊀攀上（墙头）。㊁挖。
	挖土机	uah7 thu3 ki1
	撮	choh7
	搲	uo1	㊀把东西揽到自己前面。㊁剔掉汤水上悬浮的杂物。
	裸	lhou3	㊀捋起衣袖使四肢裸露：裤脚裸起。
	ten	ten3	㊀挡住。
	隐	in3	㊀挡住光线。
	挡	tong3	㊀挡住。
	掼	guan6	㊀摔。
	掼倒	guan6 tao9
	掼物事	guan6 meh8 zy6
	zak	zak8
	zak zang	zak8 zang9
	zak标枪	zak8 piao1 chiang1
	bang	bang4
	bang篮球	bang4 lan2 gieo2
	bang垃圾	bang4 leh8 seh7
	豁	huah7
	豁拳	huah7 gion9
	豁柴绳	huah7 za2 jin9
	反	fan3
	反倒	fan3 tao3
	huang倒	huang3 tao3
	掷	djih8	㊀抛，抛洒。
	掷色ㄦ	djih8 sen9
	光	kuong5	㊀搓，抵着来回擦。打角ㄦ～去。
	油	yeo6	㊀涂抹表面。
	搬	pon1
	搬屋	pon1 uk7
	填	dian2
